cosmological_length_over_M,width_scale,observer,delay_shift_over_M,primary_estimator,matched_template_delay_shift_over_M,estimator_sensitivity_over_M,difference_from_narrow_over_M
20,1.0,r8M,1.284168914462665,tapered_analytic_envelope,1.3746185355101197,0.0904496210474548,0.11900089327559016
20,1.0,r12M,1.1998303782333402,tapered_analytic_envelope,1.3323290997508508,0.13249872151751063,0.09832586735894466
20,1.0,outer,2.0350813880650733,tapered_analytic_envelope,2.29772373792434,0.2626423498592665,0.03384080238774345
20,0.7,r8M,1.1732005483319483,tapered_analytic_envelope,1.2186168688497254,0.04541632051777711,0.008032527144873569
20,0.7,r12M,1.1010247785902685,tapered_analytic_envelope,1.1518114943997695,0.050786715809501004,0.0004797322841270102
20,0.7,outer,2.0188486502687653,tapered_analytic_envelope,2.108693826758735,0.0898451764899697,0.050073540184051524
20,0.5,r8M,1.1651680211870747,tapered_analytic_envelope,1.1949147340051667,0.029746712818091936,0.0
20,0.5,r12M,1.1015045108743955,tapered_analytic_envelope,1.1334226877415432,0.03191817686714771,0.0
20,0.5,outer,2.068922190452817,tapered_analytic_envelope,2.122126603886322,0.05320441343350524,0.0
80,1.0,r8M,0.06815118968758682,tapered_analytic_envelope,0.061308861673968096,0.006842328013618726,0.003546177102670356
80,1.0,r12M,0.06339942280462552,tapered_analytic_envelope,0.05138064551163524,0.01201877729299028,0.0028882820118063535
80,1.0,outer,0.25828075179689947,tapered_analytic_envelope,0.27219028816334756,0.013909536366448094,0.04088055249190958
80,0.7,r8M,0.06224371818296248,tapered_analytic_envelope,0.06512330444381575,0.002879586260853273,0.002361294401953984
80,0.7,r12M,0.05779781146351226,tapered_analytic_envelope,0.06129313936737901,0.0034953279038667517,0.0027133293293069016
80,0.7,outer,0.279097234265425,tapered_analytic_envelope,0.30371773941673297,0.02462050515130798,0.020064070023384062
80,0.5,r8M,0.06460501258491647,tapered_analytic_envelope,0.0672028674107068,0.0025978548257903356,0.0
80,0.5,r12M,0.06051114079281916,tapered_analytic_envelope,0.0635780698897328,0.00306692909691364,0.0
80,0.5,outer,0.29916130428880905,tapered_analytic_envelope,0.3130076124239025,0.013846308135093466,0.0
