x,numerical_u,analytic_u
1.374446785945534488e+00,-8.314671412703356079e-01,-8.314671289037971480e-01
1.423534171157875061e+00,-9.039866065710703280e-01,-9.039865931259379872e-01
1.472621556370215412e+00,-9.569374918154138765e-01,-9.569374775827386159e-01
1.521708941582555985e+00,-9.891735702457791213e-01,-9.891735555336507169e-01
1.570796326794896558e+00,-9.999970281148277129e-01,-9.999970132417212998e-01
1.619883712007237131e+00,-9.891735702457832291e-01,-9.891735555336507169e-01
1.668971097219577704e+00,-9.569374918154166521e-01,-9.569374775827387269e-01
1.718058482431918055e+00,-9.039866065710699949e-01,-9.039865931259382092e-01
1.767145867644258628e+00,-8.314671412703348308e-01,-8.314671289037973700e-01
1.816233252856599201e+00,-7.409489233333008684e-01,-7.409489123130513777e-01
1.865320638068939552e+00,-6.343913988196530074e-01,-6.343913893842525464e-01
1.914408023281280125e+00,-5.141012163389014900e-01,-5.141012086925945690e-01
1.963495408493620697e+00,-3.826822950738737461e-01,-3.826822893821806293e-01
2.012582793705961048e+00,-2.429794577940726508e-01,-2.429794541802011432e-01
2.061670178918301843e+00,-9.801684903387665460e-02,-9.801684757605516607e-02
2.110757564130642194e+00,4.906752850392297888e-02,4.906752777413508210e-02
2.159844949342982545e+00,1.950897422300920114e-01,1.950897393284929948e-01
2.208932334555323340e+00,3.368888521942596803e-01,3.368888471836617438e-01
2.258019719767663691e+00,4.713953358890247136e-01,4.713953288778912620e-01
2.307107104980004486e+00,5.956975341425020387e-01,5.956975252826042233e-01
2.356194490192344837e+00,7.071046797463887978e-01,7.071046692295147595e-01
2.405281875404685188e+00,8.032051444400941653e-01,8.032051324939003534e-01
2.454369260617025983e+00,8.819186433796243341e-01,8.819186302627173291e-01
2.503456645829366334e+00,9.415412670221763314e-01,9.415412530184890105e-01
2.552544031041707129e+00,9.807823656219996078e-01,9.807823510346747042e-01
2.601631416254047480e+00,9.987924878997703759e-01,9.987924730445748578e-01
2.650718801466387831e+00,9.951817690974629205e-01,9.951817542959756624e-01
2.699806186678728626e+00,9.700283703730482321e-01,9.700283559456678306e-01
2.748893571891068976e+00,9.238767868474037082e-01,9.238767731064444488e-01
2.797980957103409327e+00,8.577260609293371196e-01,8.577260481722454033e-01
2.847068342315750122e+00,7.730081560644330718e-01,7.730081445673664398e-01
2.896155727528090473e+00,6.715569590509186115e-01,6.715569490627500970e-01
2.945243112740430824e+00,5.555685819286665383e-01,5.555685736656109652e-01
2.994330497952771619e+00,4.275538227856419682e-01,4.275538164265677565e-01
3.043417883165111970e+00,2.902838145617350762e-01,2.902838102443004442e-01
3.092505268377452765e+00,1.467300383892419791e-01,1.467300362069022812e-01
3.141592653589793116e+00,1.444273095784529993e-15,3.673929424270161696e-16
3.190680038802133467e+00,-1.467300383892394533e-01,-1.467300362069015596e-01
