tau,u_rho_0_r_2.0914885,u_rho_0.25_r_3.765829,u_rho_0.5_r_5.4401696,u_rho_0.75_r_7.1145101,u_rho_1_r_8.7888507
0.0,1.457167719820518e-16,0.0006600401974941605,0.6327368805949284,6.982860527651735e-08,-4.163336342344337e-17
0.04,-3.400058012914542e-16,0.000667173717638761,0.632494007502855,7.82401488423623e-08,-3.7470027081099033e-16
0.08,-2.5673907444456745e-16,0.0006876187096879829,0.6313416201566859,1.3703078962853943e-07,-4.510281037539698e-16
0.12000000000000001,-3.7470027081099033e-16,0.0007201924451577871,0.6286467539433497,3.961984278745556e-07,-7.147060721024445e-16
0.16,-5.759281940243e-16,0.0007640661651479794,0.6238535965341983,1.354925577651267e-06,-1.0200174038743626e-15
0.19999999999999998,-7.7021722333370235e-16,0.000818706588379594,0.616532858019443,4.476206854214099e-06,-1.2212453270876722e-15
0.23999999999999996,-9.783840404509192e-16,0.000883828645873129,0.6064142597370912,1.3572282007309755e-05,-2.5673907444456745e-16
0.27999999999999997,-1.0755285551056204e-15,0.0009593575202522728,0.5933997977436256,3.754566168268428e-05,2.0559942637277118e-14
0.32,-1.3183898417423734e-15,0.0010453983593329656,0.5775585606539749,9.514982754190229e-05,3.0533214845362977e-13
0.36000000000000004,-1.2490009027033011e-15,0.0011422122924861153,0.5591063135036797,0.00022220909697111615,3.4229077905401084e-12
0.4000000000000001,-1.2420620087993939e-15,0.0012501976039940906,0.5383745151395615,0.00048102977411200627,3.1324720595193867e-11
0.4400000000000001,-1.366962099069724e-15,0.0013698751117491737,0.5157738910012569,0.0009705241907277742,2.396731355047699e-10
0.48000000000000015,-1.4779844015322396e-15,0.001501876964673382,0.4917573034138761,0.0018341260480124674,1.5591261615099938e-09
0.5200000000000001,-1.3461454173580023e-15,0.001646938211168781,0.46678571896663296,0.0032614715391325877,8.745524776587743e-09
0.5600000000000002,-1.4085954624931674e-15,0.0018058906069027512,0.4412998590773849,0.005479749073037176,4.28172998376275e-08
0.6000000000000002,-1.366962099069724e-15,0.001979658226366768,0.4156988872736308,0.008732066531574573,1.8493483027598456e-07
0.6400000000000002,-1.457167719820518e-15,0.002169254521829464,0.3903264143666572,0.013243108225110815,7.11372983942804e-07
0.6800000000000003,-1.5543122344752192e-15,0.0023757805381363906,0.3654632898697122,0.019176068359081838,2.4577461182409555e-06
0.7200000000000003,-1.3357370765021415e-15,0.002600424044627833,0.34132612401312745,0.026588205359035576,7.68525971203693e-06
0.7600000000000003,-1.1900203045200897e-15,0.002844459388255366,0.31807022783113015,0.03539417470360258,2.1901635749575765e-05
0.8000000000000004,-1.0130785099704553e-15,0.0031092479065374934,0.29579561731390047,0.04534581465467001,5.724561755027918e-05
0.8400000000000004,-6.349087922075114e-16,0.0033962387667437824,0.274554838130857,0.05603426519384099,0.00013803130563619717
0.8800000000000004,-3.8163916471489756e-16,0.003706970119905957,0.2543615682706092,0.06691592338675856,0.00030867594311241586
0.9200000000000005,1.491862189340054e-16,0.00404307047593401,0.2351991952753266,0.07735897061765404,0.0006433665873581684
0.9600000000000005,7.771561172376096e-16,0.004406260220132886,0.21702880408829006,0.0867032846843969,0.001255521762425764
1.0000000000000004,1.6167622796103842e-15,0.004798353202478081,0.19979622594283675,0.09432436621571355,0.002303739642953207
1.0400000000000005,2.6020852139652106e-15,0.005221258339694404,0.18343797498042758,0.09969179762430616,0.003990118189682743
1.0800000000000005,3.910066714851723e-15,0.005676981176969818,0.16788603315822587,0.10241448119731507,0.006547235857583766
1.1200000000000006,5.353356646864427e-15,0.006167625361414547,0.15307153736157997,0.10226783627976246,0.010212033260344498
1.1600000000000006,7.310124727766265e-15,0.006695393983463957,0.1389274809106679,0.09920148034868068,0.015188092037713149
1.2000000000000006,9.957312752106873e-15,0.007262590745576267,0.12539057186333574,0.09332895237135938,0.02160150789948975
1.2400000000000007,1.3100631690576847e-14,0.007871620920010806,0.11240239988361814,0.08490326052196354,0.02945849436352582
1.2800000000000007,1.71355984956989e-14,0.008524992059353552,0.09991005852399557,0.07428323165283272,0.038613941207762625
1.3200000000000007,2.2273849431542203e-14,0.00922531442493342,0.08786635602212746,0.06189584152982901,0.04875885359037652
1.3600000000000008,2.888661532196579e-14,0.009975301099451217,0.07622972937462667,0.04819912276754412,0.0594311561813442
1.4000000000000008,3.7060632340768507e-14,0.010777767751125433,0.06496395658433599,0.03364917407146245,0.07004968540964596
1.4400000000000008,4.7302439742935576e-14,0.01163563201751669,0.054037742634133815,0.018673523490180657,0.07996657351951311
1.4800000000000009,6.029898802495381e-14,0.012551912477995905,0.04342423715913504,0.003651869925615489,0.08852981695382126
1.520000000000001,7.666783874427097e-14,0.013529727184613455,0.03310052660160909,-0.011095798291770528,0.0951463437183794
1.560000000000001,9.717227023031683e-14,0.014572291721968778,0.023047131043141347,-0.025314451957736753,0.09933648319581692
1.600000000000001,1.2283923878086966e-13,0.015682916767583738,0.013247525842605882,-0.03881382920911394,0.10077299843179062
1.640000000000001,1.550426453889031e-13,0.016865005125309473,0.0036877004293385507,-0.051464183579890035,0.09930103877585916
1.680000000000001,1.953576189706041e-13,0.018122048205440465,-0.005644239208261684,-0.06318933789245172,0.09493870810147427
1.720000000000001,2.454633718507182e-13,0.01945762192651944,-0.014758421977374066,-0.07395826003331073,0.08786075549336567
1.7600000000000011,3.0807301154567313e-13,0.020875382015288144,-0.023663517592839137,-0.08377615207198,0.07836977493523659
1.8000000000000012,3.8602454566216693e-13,0.02237905868289962,-0.032366999326925355,-0.09267579428062889,0.06686012514850728
1.8400000000000012,4.82731910000922e-13,0.023972450657364558,-0.04087536708512912,-0.100709645546432,0.05377966046319394
1.8800000000000012,6.02778243985469e-13,0.0256594185542623,-0.04919433485375019,-0.10794299299967051,0.039593553022827715
1.9200000000000013,7.515724154139036e-13,0.027443877570017837,-0.05732898673679618,-0.11444827669429253,0.02475329169347399
1.9600000000000013,9.360116848267097e-13,0.02932978948452776,-0.06528390571381804,-0.120300591847296,0.009672646986253811
2.0000000000000013,1.164048024637765e-12,0.03132115396261488,-0.07306327900263995,-0.12557428804082177,-0.005288790362075996
2.0400000000000014,1.4458503838632453e-12,0.033421999146700326,-0.08067098357179904,-0.13034053554626385,-0.01983482530749802
2.0800000000000014,1.7933293738892075e-12,0.035636371536198655,-0.08811065496643997,-0.13466570608257764,-0.03373559428282494
2.1200000000000014,2.22173668351644e-12,0.03796832515246459,-0.0953857422221557,-0.13861041156451587,-0.046825532940648375
2.1600000000000015,2.7493077259244103e-12,0.0404219099916315,-0.10249955126563226,-0.1422290533031928,-0.058997790892913994
2.2000000000000015,3.3982816560751417e-12,0.04300115977138788,-0.10945527885204438,-0.1455697504736397,-0.07019643222961103
2.2400000000000015,4.1953177043474454e-12,0.04571007898160498,-0.11625603877385333,-0.14867453651439705,-0.08040757162576884
2.2800000000000016,5.173590722495902e-12,0.04855262925276392,-0.122904881796632,-0.15157973269113761,-0.08965035226688789
2.3200000000000016,6.373103433876537e-12,0.05153271506030044,-0.129404810534614,-0.15431642753712904,-0.09796841832120923
2.3600000000000017,7.841921556561715e-12,0.05465416878728251,-0.13575879026995724,-0.15691100824095872,-0.10542230142401557
2.4000000000000017,9.638831399705339e-12,0.05792073517223214,-0.14196975654231703,-0.15938570481028097,-0.11208294470299296
2.4400000000000017,1.1835039892549304e-11,0.0613360551733836,-0.14804062018591685,-0.1617591199073704,-0.11802643601178478
2.4800000000000018,1.4516408908260559e-11,0.06490364928520248,-0.1539742703664193,-0.16404672677771623,-0.12332991373184382
2.520000000000002,1.7786411232734167e-11,0.0686269003475588,-0.15977357606617792,-0.16626132496116452,-0.12806853878861021
2.560000000000002,2.1770862890235776e-11,0.0725090358925159,-0.16544138638079117,-0.16841344882910964,-0.13231338827642797
2.600000000000002,2.6620455839676538e-11,0.0765531100782424,-0.17098052991946514,-0.17051172778205792,-0.13613011163495398
2.640000000000002,3.25173082904584e-11,0.08076198526404724,-0.17639381354404532,-0.17256319949799165,-0.13957819251785447
2.680000000000002,3.968035622303745e-11,0.08513831328494406,-0.18168402063455275,-0.17457357923293138,-0.14271067226715523
2.720000000000002,4.837275024982546e-11,0.08968451648844283,-0.1868539090308118,-0.1765474890850431,-0.1455742094650607
2.760000000000002,5.891068188823567e-11,0.09440276860041322,-0.19190620876873493,-0.17848865154109378,-0.14820937085872438
2.800000000000002,7.1673333934541e-11,0.0992949754908236,-0.19684361970471656,-0.18040005168545636,-0.1506510696401774
2.840000000000002,8.711539822847669e-11,0.10436275591391822,-0.20166880910131088,-0.1822840722869455,-0.15292908612214529
2.880000000000002,1.0578084241874564e-10,0.1096074223008964,-0.20638440923101095,-0.18414260567655458,-0.15506862248278078
2.920000000000002,1.2832059026468556e-10,0.11502996168639619,-0.21099301504178714,-0.18597714595391474,-0.15709085715476417
2.960000000000002,1.555125195285001e-10,0.12063101685300372,-0.21549718191745568,-0.18778886465675207,-0.15901347563072424
3.000000000000002,1.8828506809231982e-10,0.12641086778060037,-0.21989942355745634,-0.1895786726257319,-0.16085116316896436
3.0400000000000023,2.2774566954542053e-10,0.13236941348958042,-0.22420220999381196,-0.19134727041566607,-0.16261605143408167
3.0800000000000023,2.7521332435220813e-10,0.1385061543687936,-0.22840796575759215,-0.1930951892540092,-0.16431811585490985
3.1200000000000023,3.3225813766968315e-10,0.14482017508047873,-0.2325190682028565,-0.194822824234138,-0.16596552377903484
3.1600000000000024,4.0074726870287236e-10,0.15131012813541092,-0.23653784599258634,-0.19653046115553496,-0.1675649356691042
3.2000000000000024,4.828980965099205e-10,0.15797421823198238,-0.2404665777483611,-0.19821829818470202,-0.16912176289794437
3.2400000000000024,5.813419190481284e-10,0.16481018745294268,-0.24430749086336262,-0.1998864633069412,-0.17064038638663953
3.2800000000000025,6.991988099613877e-10,0.1718153014130354,-0.248062760476572,-0.20153502836679238,-0.17212434057631448
3.3200000000000025,8.401632584087437e-10,0.17898633644975115,-0.2517345086046918,-0.2031640203503397,-0.1735764671736763
3.3600000000000025,1.0086069895942629e-09,0.1863195679478846,-0.25532480342728947,-0.20477343044219037,-0.17499904287072943
3.4000000000000026,1.2096971896413677e-09,0.19381075988650415,-0.2588356587198685,-0.20636322129027737,-0.1763938848899994
3.4400000000000026,1.449535366737642e-09,0.20145515569433237,-0.26226903342898567,-0.20793333282960064,-0.1777624378046779
3.4800000000000026,1.7353193326741234e-09,0.20924747049638145,-0.26562683138310283,-0.20948368694880218,-0.17910584466709267
3.5200000000000027,2.075532565259941e-09,0.21718188483099105,-0.2689109011325641,-0.21101419122861556,-0.1804250050741241
3.5600000000000027,2.480162381024442e-09,0.22525203991219686,-0.2721230359119018,-0.21252474193661686,-0.18172062242010667
3.6000000000000028,2.9609565910249103e-09,0.23345103450760965,-0.2752649737175652,-0.21401522642653875,-0.18299324224472469
3.640000000000003,3.531719236504749e-09,0.24177142349673025,-0.2783383974941396,-0.21548552506116173,-0.1842432832789514
3.680000000000003,4.208655118853599e-09,0.2502052181688826,-0.2813449354221442,-0.21693551275420908,-0.1854710625264594
3.720000000000003,5.010768397428755e-09,0.25874388831373485,-0.28428616130057127,-0.2183650602076752,-0.18667681548935158
3.760000000000003,5.96032424804438e-09,0.26737836615071764,-0.2871635950174355,-0.21977403490575137,-0.18786071245258124
3.800000000000003,7.083383393724496e-09,0.2760990521365767,-0.2899787031017492,-0.2211623019142682,-0.1890228715775285
3.840000000000003,8.410417917659174e-09,0.28489582268284075,-0.2927328993504996,-0.22252972452474948,-0.19016336941813627
3.880000000000003,9.977024498231124e-09,0.29375803980717,-0.29542754552439093,-0.22387616477431732,-0.19128224935920576
3.920000000000003,1.1824744669541865e-08,0.3026745627344418,-0.2980639521063161,-0.22520148386639902,-0.19237952838246652
3.960000000000003,1.400200999590595e-08,0.3116337614550271,-0.30064337911673467,-0.22650554251215924,-0.19345520248885079
4.000000000000003,1.6565229396525716e-08,0.3206235322391052,-0.30316703698035763,-0.22778820120856985,-0.19450925104225492
4.040000000000002,1.958003886803894e-08,0.3296313150970517,-0.30563608743876214,-0.22904932046582183,-0.1955416402486312
4.080000000000001,2.3122735018366036e-08,0.33864411316700704,-0.3080516445038013,-0.230288760994226,-0.19655232594247285
4.12,2.728192030621024e-08,0.34764851400171054,-0.3104147754469008,-0.23150638385870584,-0.19754125581891993
4.159999999999999,3.216038586828507e-08,0.35663071271762475,-0.3127265018195746,-0.2327020506073613,-0.19850837122239254
4.199999999999998,3.7877266600983006e-08,0.36557653696034337,-0.31498780050072794,-0.23387562337927434,-0.19945360858062866
4.2399999999999975,4.457050334361057e-08,0.3744714736312974,-0.3171996047665471,-0.2350269649956972,-0.20037690055529034
4.279999999999997,5.2399654990042954e-08,0.38330069731193606,-0.3193628053790101,-0.23615593903793225,-0.20127817696606248
4.319999999999996,6.154910393851853e-08,0.3920491003128754,-0.32147825168927757,-0.23726240991455014,-0.20215736553377106
4.359999999999995,7.223170771231135e-08,0.40070132426706717,-0.32354675275245065,-0.2383462429200709,-0.20301439247888903
4.399999999999994,8.469295363633389e-08,0.4092417931778694,-0.3255690784503957,-0.23940730428680257,-0.2038491830044895
4.439999999999993,9.921568215609522e-08,0.41765474782505607,-0.32754596061955715,-0.2404454612312024,-0.20466166168685634
4.479999999999992,1.1612544771610889e-07,0.4259242814243425,-0.3294780941808806,-0.24146058199585196,-0.2054517527922822
4.519999999999992,1.357965974946307e-07,0.4340343764289584,-0.33136613826917327,-0.24245253588792373,-0.20621938053485334
