bridge_time,radius_over_M,peak_abs_field,transverse_reference,amplification
0.0,4.002092338066231,0.0,0.0,nan
35.99999999998987,4.025088102217658,4.0202306638425525e-10,0.00031491692811971915,1.2766003681816105e-06
36.24999999999106,4.978655957151929,3.566750394031206e-10,0.0012298941516587021,2.9000466334610116e-07
36.499999999992255,4.002092338066231,4.4666853953589024e-10,0.0006131258431569921,7.285103776346936e-07
36.74999999999345,4.202153661951824,4.10119984747646e-10,0.0010336264797706507,3.9677774590164016e-07
36.99999999999464,4.742705064685375,4.2315063380904936e-10,0.0016515281899305994,2.5621762703719334e-07
37.249999999995836,4.219026115235192,4.319445355731983e-10,0.0015004791108050167,2.878710756202779e-07
37.49999999999703,4.103686494260257,3.404793147237875e-10,0.0016165167274404255,2.1062529632025435e-07
37.749999999998224,4.0405659897307045,3.124963621040015e-10,0.0017784102040817279,1.7571669426253502e-07
37.99999999999942,4.955177722283714,3.555138647150153e-10,0.0020674996119936545,1.719535339463495e-07
38.25000000000061,4.1688103942389185,3.2872811150443176e-10,0.0021945023484720824,1.4979619945875565e-07
38.500000000001805,4.76420865528504,3.368746366135772e-10,0.002160511716486226,1.5592354072555425e-07
38.750000000003,4.296659724907164,3.957889863485633e-10,0.0023392522224188516,1.6919466082169905e-07
39.00000000000419,4.296659724907164,2.9308062204051303e-10,0.002357732473813529,1.2430613960474825e-07
39.250000000005386,4.518371218142145,2.71283311810413e-10,0.0022384853622787093,1.2119056768557778e-07
39.50000000000658,4.270466340624462,3.134651218242193e-10,0.0023494297755001373,1.3342178816878665e-07
39.75000000000777,4.261806037782011,3.357600063700286e-10,0.002325915493755363,1.443560642127712e-07
40.00000000000897,5.149446898152432,3.16802563903191e-10,0.0018530577166070664,1.7096205966172167e-07
40.25000000001016,4.07978654567105,2.3972627476965994e-10,0.0023682282490922,1.0122600085593646e-07
40.500000000011354,6.544621113636929,2.9729750629341636e-10,0.0013278652245663535,2.238913263132605e-07
40.75000000001255,4.0561633726505555,2.886942051518615e-10,0.0022959989435753767,1.257379520838546e-07
