bridge,label,turning_radius,max_abs_boost_interior,min_A,max_A,max_constraint_linf,wall_seconds
minimum,minimum height,3.8672940659328185,0.9995300489476614,0.03220344596920552,0.07976991155006118,2.3685146598732224e-09,2.893589089999999
minimal,minimal gauge,2.8636943435465474,0.9999140380056895,0.015088699650590688,0.43601543201865617,1.7858240518832536e-11,2.8745037300000007
linear,linear boost,5.440169573456448,0.998999499749875,0.03747125140931892,0.10384590350667887,1.467609821780263e-11,2.489033155999998
modified_linear,flat-limit linear,2.7973904579834903,0.9999432984200258,0.014024911171476195,0.6616850206967894,6.267597411649038e-09,2.8752724470000004
mavrogiannis,Mavrogiannis,2.999985663870609,0.9998797105634799,0.017659017805825353,0.3118310911657261,2.475950952066042e-11,2.768585539
slow_roll,slow-roll,3.5578759333052195,0.9995374938177448,0.023460213685748136,0.08106379541340411,5.032968639025209e-09,2.971207246000006
