diagnostic,direction,window,complete_late_time_signal,gamma_over_pi,cosmological_length_over_M,window_start_U_over_M,window_end_U_over_M,reference_l2,difference_l2,E2,difference_linf_absolute,Einf,overlap_amplitude_ratio,amplitude_difference_fraction,phase_difference_radians,time_translation_fitted,analysis_status,base_L_over_M
direct,gamma_0,common_archived_interval,False,0.0,80,0.0004112777603122453,57.22741127776022,0.043526149601184054,0.006816219832849243,0.15660056989428303,0.0029976796324902195,0.09610540777196692,1.0945858878123942,0.09458588781239419,-0.02808433823117865,False,secondary_direction_diagnostic,
direct,gamma_0,common_archived_interval,False,0.0,160,0.0004112777603122453,57.22741127776022,0.043526149601184054,0.003386986373148065,0.07781497798867851,0.0014621189385706362,0.046875435012952445,1.0456620686203848,0.0456620686203848,-0.018349625184715557,False,secondary_direction_diagnostic,
direct,gamma_0,common_archived_interval,False,0.0,320,0.0004112777603122453,57.22741127776022,0.043526149601184054,0.0016911237930808585,0.03885305290213068,0.0007260741553200348,0.023277888675432384,1.0224304456569213,0.022430445656921316,-0.010258533903875502,False,secondary_direction_diagnostic,
direct,gamma_0,common_archived_interval,False,0.0,640,0.0004112777603122453,57.22741127776022,0.043526149601184054,0.0008453116011061113,0.019420775989868768,0.0003623279846327286,0.011616210862865434,1.0111159564654901,0.011115956465490129,-0.005401538687761543,False,secondary_direction_diagnostic,
extrapolant_vs_schwarzschild,gamma_0,common_archived_interval,False,0.0,,0.0004112777603122453,57.22741127776022,0.043526149601184054,9.13885656200711e-06,0.00020996243972286728,6.984257634833416e-06,0.0002239148308929002,1.0000837574329422,8.375743294219973e-05,0.0001580782740132679,False,secondary_direction_diagnostic,80
extrapolant_vs_schwarzschild,gamma_0,common_archived_interval,False,0.0,,0.0004112777603122453,57.22741127776022,0.043526149601184054,1.0429414218993976e-06,2.3961260792776998e-05,8.127145475107789e-07,2.6055573832567587e-05,1.0000119336757987,1.1933675798658783e-05,1.7282714681851075e-05,False,secondary_direction_diagnostic,160
extrapolant_difference,gamma_0,common_archived_interval,False,0.0,,0.0004112777603122453,57.22741127776022,0.04352666961856773,8.10967818915851e-06,0.00018631515482864006,6.198993702714525e-06,0.0001987369360634909,1.000071824139581,7.182413958095601e-05,0.0001407958090418548,False,secondary_direction_diagnostic,
direct,gamma_pi,common_archived_interval,False,1.0,80,0.0004112777603122453,57.22741127776022,0.11012956253276873,0.029001588485173535,0.2633406309640447,0.01955315501423528,0.25329897618199704,0.952446370471373,0.04755362952862696,-0.24654611474668398,False,secondary_direction_diagnostic,
direct,gamma_pi,common_archived_interval,False,1.0,160,0.0004112777603122453,57.22741127776022,0.11012956253276873,0.01388547999117113,0.12608313037690988,0.009304759070198681,0.12053737334898607,0.9760956521779632,0.023904347822036764,-0.1162256764683615,False,secondary_direction_diagnostic,
direct,gamma_pi,common_archived_interval,False,1.0,320,0.0004112777603122453,57.22741127776022,0.11012956253276873,0.006787852522106252,0.06163515377704825,0.004531459754253684,0.058702246032762445,0.987946102116551,0.012053897883449016,-0.056383396962540897,False,secondary_direction_diagnostic,
direct,gamma_pi,common_archived_interval,False,1.0,640,0.0004112777603122453,57.22741127776022,0.11012956253276873,0.003355272994806381,0.030466596957633686,0.002235276957143907,0.028956624356302384,0.9939394145281549,0.00606058547184507,-0.027763284329576823,False,secondary_direction_diagnostic,
extrapolant_vs_schwarzschild,gamma_pi,common_archived_interval,False,1.0,,0.0004112777603122453,57.22741127776022,0.11012956253276873,0.00014695021390984228,0.0013343393956197517,9.694993618368508e-05,0.0012559261949470007,0.9991976396914484,0.0008023603085516307,0.00043654940997105255,False,secondary_direction_diagnostic,80
extrapolant_vs_schwarzschild,gamma_pi,common_archived_interval,False,1.0,,0.0004112777603122453,57.22741127776022,0.11012956253276873,1.678060371855019e-05,0.0001523714734956581,1.1148130433416559e-05,0.0001444171041999084,0.9999015054820612,9.849451793875197e-05,4.051356104177224e-05,False,secondary_direction_diagnostic,160
extrapolant_difference,gamma_pi,common_archived_interval,False,1.0,,0.0004112777603122453,57.22741127776022,0.11011877532403809,0.00013034479222788633,0.0011836745536293034,8.590215387471734e-05,0.0011129405450192786,0.9992961588566013,0.0007038411433987202,0.00039601963113690706,False,secondary_direction_diagnostic,
