cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,reference_l2,difference_l2,E2,difference_linf_absolute,Einf,overlap_amplitude_ratio,amplitude_difference_fraction,phase_difference_radians,time_translation_fitted,case_specific_numerical_E2,analysis_status
20,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.6489005609658406,0.638216588841591,0.21636157300848824,0.6104499650647183,1.0571140297472803,0.057114029747280304,-0.6003931516389194,False,0.00014871172587297576,quantitative
20,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.6510705469857907,0.6396088961132221,0.21636157300848824,0.6104499650647183,1.052464180003976,0.05246418000397601,-0.6560232292052348,False,0.0003317411188242678,quantitative
20,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.6510726551143375,0.6396106952852343,0.21636157300848824,0.6104499650647183,1.0388722371971089,0.03887223719710886,-0.6660478627882033,False,0.0007114204220833993,quantitative
20,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.05293421656155766,1.085455412429773,0.024902838610808213,0.9205152232734657,1.1655102980106826,0.16551029801068262,-1.1369086697151374,False,0.006189650932341819,diagnostic_numerical_refinement_not_subdominant
20,late_time,disjoint,80.0,160.0,0.0009331252027985584,0.0016525785368918825,1.771014791943883,0.00073346194174176,1.2709272203721647,1.3886796890452975,0.3886796890452975,-2.1380880238348463,False,0.6864479980761572,diagnostic_numerical_refinement_not_subdominant
40,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.2648724850104485,0.2605114312272306,0.09188778259046898,0.25925534230621256,1.015566874056532,0.01556687405653201,-0.2516634796372551,False,0.00038137467901111456,quantitative
40,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.26543577968669285,0.26076296465928644,0.09188778259046898,0.25925534230621256,1.0077331455100917,0.0077331455100917434,-0.2727963092014109,False,0.000938850232962138,quantitative
40,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.26543646441148283,0.26076352650145906,0.09188778259046898,0.25925534230621256,1.004131342624236,0.0041313426242359785,-0.27287593819234524,False,0.0022574705552138403,diagnostic_numerical_refinement_not_subdominant
40,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.017257789979173776,0.3538837968384064,0.007785575709857093,0.2877881142337363,1.0709252909643954,0.07092529096439537,-0.38501990244274875,False,0.017907157710833663,diagnostic_numerical_refinement_not_subdominant
40,late_time,disjoint,80.0,160.0,0.0009331252027985584,0.0006029104200057588,0.6461195327246071,0.00027120592311918645,0.46993984336775835,0.977663156524422,0.02233684347557796,-0.6741487072206663,False,2.239315006984756,diagnostic_numerical_refinement_not_subdominant
80,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.1193932380558006,0.1174274607026212,0.04239177356376412,0.11960560431872998,1.0039038728537444,0.0039038728537443834,-0.1143798987306041,False,0.00028654364547767906,quantitative
80,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.11956281900772452,0.11745799750235766,0.04239177356376412,0.11960560431872998,0.9990062602131726,0.0009937397868273745,-0.12326206557535083,False,0.0006891569149265641,quantitative
80,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.11956311227017669,0.11745823568056986,0.04239177356376412,0.11960560431872998,0.9975798546982131,0.0024201453017869134,-0.122452310190146,False,0.0016258357082949034,quantitative
80,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.006357461263427055,0.13036446340288402,0.002907824760911672,0.107485616433662,1.0184330766624246,0.018433076662424552,-0.14675126149202716,False,0.013082324782786342,diagnostic_numerical_refinement_not_subdominant
80,late_time,disjoint,80.0,160.0,0.0009331252027985584,0.00026481123853434635,0.28378961123345997,7.117457769387399e-05,0.12332979128382181,0.9905689759494962,0.009431024050503778,-0.21244123495940712,False,1.6061990946397082,diagnostic_numerical_refinement_not_subdominant
160,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.056678446988593756,0.0557452516978229,0.02036413071981001,0.057456057069772165,1.0009181419521265,0.0009181419521264722,-0.05437588230770184,False,0.00017987133678959452,quantitative
160,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.05673943525860708,0.055740576378180626,0.02036413071981001,0.057456057069772165,0.9982659546020368,0.0017340453979631798,-0.05840260032124919,False,0.00040989669647715766,quantitative
160,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.05673954198235488,0.05574065753249381,0.02036413071981001,0.057456057069772165,0.9976055847019671,0.0023944152980328592,-0.05780839172364632,False,0.0009088625598943011,quantitative
160,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0026263190283530645,0.053854621627921366,0.0012098213457594938,0.044720161569430886,1.0042985573326497,0.004298557332649722,-0.06116891479287214,False,0.0076877897854724505,diagnostic_numerical_refinement_not_subdominant
160,late_time,disjoint,80.0,160.0,0.0009331252027985584,0.0001100476951862806,0.11793454389210997,2.620822811062852e-05,0.045413059094003,0.9914414280968386,0.00855857190316145,-0.0789083236468899,False,0.8847976494298332,diagnostic_numerical_refinement_not_subdominant
320,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.027615566962088434,0.027160884125662546,0.009980643121089594,0.028159728919855544,1.0002004131274675,0.00020041312746754691,-0.02648714721277373,False,0.0002748906833963086,quantitative
320,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.027640737868157638,0.027154141617149644,0.009980643121089594,0.028159728919855544,0.998826730310808,0.001173269689191958,-0.02839777309380237,False,0.0006427257755301451,quantitative
320,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.02764078685329128,0.02715417819899049,0.009980643121089594,0.028159728919855544,0.998504119918429,0.0014958800815709772,-0.02805502846310586,False,0.0014779003307697418,quantitative
320,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.0011774959999947315,0.024145429730169962,0.0005441262948709614,0.020113230689882824,1.000883479477514,0.0008834794775141042,-0.02743482742324989,False,0.01212632853086714,diagnostic_numerical_refinement_not_subdominant
320,late_time,disjoint,80.0,160.0,0.0009331252027985584,5.203652714183934e-05,0.05576585755670872,1.0883799693446822e-05,0.018859216142328473,0.9949616748298936,0.005038325170106384,-0.03271155226168353,False,1.4516064556891024,diagnostic_numerical_refinement_not_subdominant
640,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.013630716669129845,0.013406290608055453,0.004939838287040781,0.013937429220072727,1.00001091599612,1.091599611990901e-05,-0.013071692290749256,False,0.00011430156478077609,quantitative
640,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.013642379604130426,0.013402214858823638,0.004939838287040781,0.013937429220072727,0.9993179179863229,0.0006820820136771433,-0.014003330468411197,False,0.00023895914915670268,quantitative
640,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.013642536658867959,0.01340236345250967,0.004939838287040781,0.013937429220072727,0.999162509354375,0.0008374906456249942,-0.01382147391464639,False,0.00046479641774511613,quantitative
640,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.000563098108016311,0.011546744785850929,0.00026262014201794133,0.00970756155327743,1.0001047971821004,0.00010479718210043565,-0.01301540494747965,False,0.004379808440574932,diagnostic_numerical_refinement_not_subdominant
640,late_time,disjoint,80.0,160.0,0.0009331252027985584,6.54546834253837e-05,0.07014566022767038,1.1703992728404536e-05,0.02028042915252503,0.9907085281454249,0.009291471854575128,-0.013570666272379735,False,0.43483652026606473,diagnostic_numerical_refinement_not_subdominant
