cosmological_length_over_M,observer,window,window_start_U_over_M,window_end_U_over_M,coarse_medium_paired_sphere_E2,medium_fine_paired_sphere_E2,directly_observed_refinement_change_E2,observed_coupled_order,richardson_fine_sphere_E2,estimated_fine_numerical_E2,conservative_numerical_E2,case_specific
80,outer,full_available_signal,0.0004112777603122453,57.22741127776022,5.79783157393553e-07,1.117604797619095e-07,1.117604797619095e-07,3.633786022658154,6.059234721488672e-08,6.059234721488672e-08,1.117604797619095e-07,True
160,outer,full_available_signal,0.0004112777603122453,57.22741127776022,5.203472351491309e-07,1.0913900261305323e-07,1.0913900261305323e-07,3.4052233584815785,6.56100879606388e-08,6.56100879606388e-08,1.0913900261305323e-07,True
320,outer,full_available_signal,0.0004112777603122453,57.22741127776022,7.233957609315093e-07,1.100674682442949e-07,1.100674682442949e-07,4.2699970750108625,4.556215040961772e-08,4.556215040961772e-08,1.100674682442949e-07,True
640,outer,full_available_signal,0.0004112777603122453,57.22741127776022,3.3050724319501393e-06,3.7381005752827283e-07,3.7381005752827283e-07,5.059446788819369,1.137349099866725e-07,1.137349099866725e-07,3.7381005752827283e-07,True
