U_over_M,schwarzschild,sds_L20,sds_L40,sds_L80,sds_L160,sds_L320,sds_L640,Winf_from_L80,Winf_from_L160
0.017411277760170485,0.06576759923965698,0.07156772313737417,0.07115486875321436,0.06903752471156721,0.06752186891260668,0.06667666842160871,0.06620978092177947,0.06577321953626562,0.06571336858573006
0.047411277760169845,0.06002791935521515,0.06644283842698823,0.06566947392086354,0.06340990337183126,0.061835516220784835,0.06096280808120264,0.06048404210626849,0.06003309023224781,0.05997700152790562
0.0774112777601692,0.0540616391579578,0.06108947980086953,0.05994820797156739,0.05754893582923984,0.05591860605312985,0.05502022978260927,0.05453055297736587,0.05406637925711163,0.05401388372546708
0.10741127776016857,0.04788355142082812,0.0555189638467144,0.05400462630130427,0.05146893914457287,0.04978573659696644,0.04886363933880256,0.0483640733823151,0.04788787809106492,0.047838829207557276
0.13741127776016793,0.04150780348867694,0.04974218309834131,0.047851719064477584,0.04518361556217599,0.0434508723478751,0.04250710215659332,0.041998718344570404,0.041511732909223976,0.04146600205495946
0.1674112777601673,0.03494795762636154,0.04376964541385323,0.04150196457034645,0.03870611082342741,0.03692740389698975,0.035964103429518536,0.03544801726807106,0.0349515049592124,0.03490897382148233
0.19741127776016665,0.028217043490905123,0.03761150865185304,0.03496737622227704,0.032049065353903644,0.030228200387330886,0.029247600791756537,0.028724966120316216,0.02822022312132354,0.028180774866440467
0.227411277760166,0.021327603354856395,0.03127761125344462,0.02825954384907215,0.025224658896209177,0.023365655200817927,0.022370069996539205,0.021842074027712214,0.021330429221205083,0.02129394248109347
0.25741127776016537,0.014291731047600467,0.02477749925007772,0.021389670076959882,0.018244648979880953,0.016351725316177103,0.015343544217201755,0.014811405238801006,0.014294216940144128,0.014260567307791544
0.28741127776016473,0.0071211062672618675,0.01812045015352811,0.014368602236160677,0.011120403827009127,0.009197965096163618,0.008179648044922088,0.0076446166041935545,0.007123265869801376,0.007092336553393174
0.3174112777601641,-0.0001729736494570644,0.01131549414667839,0.007206860251252785,0.0038629309307070493,0.001915555955467363,0.0008896279241978899,0.00035298997937178826,-0.00017112713617133674,-0.0001994305849152236
0.34741127776016345,-0.00757956307885474,0.004371432976217032,-8.533892000358212e-05,-0.0035170967412274552,-0.00548466609729077,-0.0065156190663336324,-0.007052540988623757,-0.007578017562717299,-0.007603759869426345
0.3774112777601628,-0.015088039194094904,-0.0027031430706715804,-0.007498059500362021,-0.011009314963889068,-0.012992183496379322,-0.014025517243319172,-0.014561368897889265,-0.015086783977388838,-0.015110010406526134
0.40741127776016217,-0.022688077536847727,-0.009899839780898213,-0.015021626805439265,-0.01860364239458063,-0.020596771037563116,-0.02162978647277161,-0.02216319271176536,-0.022687102650458275,-0.022707864631685445
0.43741127776016153,-0.03036963460681949,-0.01721044502536045,-0.02264660813270246,-0.026290256749921824,-0.028288473277566457,-0.029318421369342297,-0.029847996650481667,-0.030368929346420482,-0.03038730608845533
0.4674112777601609,-0.03812293607405668,-0.02462691615746166,-0.030363794691560406,-0.034059576909488645,-0.03605758840897441,-0.03708167720615728,-0.03760602711440883,-0.038122488034966796,-0.03813858069576712
0.49741127776016025,-0.04593846434429501,-0.03214136894924062,-0.0381641856516416,-0.041902253044109855,-0.04389465832467374,-0.04491005976955877,-0.04542777146474865,-0.045938260417512526,-0.045952157141770096
0.5274112777601596,-0.053806939506484894,-0.0397460681733959,-0.04603897570748287,-0.04980916112758553,-0.05179045941187359,-0.05279431259812049,-0.053303944270496985,-0.05380696848043598,-0.05381871266237551
0.557411277760159,-0.06171929597158723,-0.0474334195921927,-0.053979546300286556,-0.05777139309250156,-0.059735987237273816,-0.06072539750573159,-0.061225481549311477,-0.06171954990490378,-0.06172915153245869
