phase_radians,phase_over_half_pi,raw_phase_radians,matched_lag_over_M,lag_at_boundary,phase_resolved,coherence,case,gamma_over_pi,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,first_pulse_abs_null_ray_residual_over_M,second_pulse_abs_null_ray_residual_over_M,null_ray_consistency_tolerance_over_M,pulse_arrivals_consistent,included_in_quantitative_phase_analysis,corrected_phase_radians,exclusion_reason
nan,nan,-0.7676979038289876,1.999999880186724,True,False,0.999717572436326,sds_L12,0.3333333333333333,0->1,0.036964876733156016,0.20787957635076193,0.04936057269664218,2.8820353363614117,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
nan,nan,-1.7136388982194244,-1.999999880186724,True,False,0.9968778302251876,sds_L12,0.3333333333333333,1->2,1.1025264940224657,0.20787957635076193,2.8820353363614117,10.721172424456114,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
nan,nan,-0.614407621864273,1.9949999938220133,True,False,0.9999857085699381,sds_L12,0.3333333333333333,2->3,0.05325045645477863,0.20787957635076193,10.721172424456114,4.3771445916218,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
-1.4514061447159938,-0.9239938494620048,-1.4514061447159938,0.9641289162912966,False,True,0.9998671145331639,sds_L12,0.5,0->1,0.21451940959443655,0.20787957635076193,0.07297786058214939,1.055584817145217,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
nan,nan,1.3413926956490418,-1.9949999082431549,True,False,0.9994976194288376,sds_L12,0.5,1->2,0.18552654904362215,0.20787957635076193,1.055584817145217,11.24805601475542,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
1.0239192896229283,0.6518472650825242,1.0239192896229283,1.5049999871435198,False,True,0.9998252428114227,sds_L12,0.5,2->3,0.6102341395679954,0.20787957635076193,11.24805601475542,15.66620056292561,1.0,False,False,nan,L12_extracted_pulse_inconsistent_with_null_ray_arrival
