estimator,model,members,window,window_start_U_over_M,window_end_U_over_M,E2_percent,within_1_percent
least_squares_all,W + a/L + b/L^2,"20,40,80,160,320,640",extended_finite_time,0.0,160.0,0.5310047451958092,True
least_squares_drop_one,W + a/L + b/L^2,"40,80,160,320,640",prompt_and_early_ringdown,0.0,40.0,0.07303318287824082,True
least_squares_drop_one,W + a/L + b/L^2,"40,80,160,320,640",radiative_signal,0.0,80.0,0.07498859992976041,True
least_squares_drop_one,W + a/L + b/L^2,"40,80,160,320,640",extended_finite_time,0.0,160.0,0.07611713256066847,True
least_squares_drop_one,W + a/L + b/L^2,"20,80,160,320,640",prompt_and_early_ringdown,0.0,40.0,0.19454725443170734,True
least_squares_drop_one,W + a/L + b/L^2,"20,80,160,320,640",radiative_signal,0.0,80.0,0.20082662008500293,True
least_squares_drop_one,W + a/L + b/L^2,"20,80,160,320,640",extended_finite_time,0.0,160.0,0.2010040788518273,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,160,320,640",prompt_and_early_ringdown,0.0,40.0,0.5087512402462377,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,160,320,640",radiative_signal,0.0,80.0,0.5271805895474315,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,160,320,640",extended_finite_time,0.0,160.0,0.5272737975356723,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,320,640",prompt_and_early_ringdown,0.0,40.0,0.43417534154474374,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,320,640",radiative_signal,0.0,80.0,0.44988079248431734,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,320,640",extended_finite_time,0.0,160.0,0.4499515091002237,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,640",prompt_and_early_ringdown,0.0,40.0,0.5541766841441104,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,640",radiative_signal,0.0,80.0,0.5744245689678175,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,640",extended_finite_time,0.0,160.0,0.5745256367093337,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,320",prompt_and_early_ringdown,0.0,40.0,0.7614518692532027,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,320",radiative_signal,0.0,80.0,0.7894324577913452,True
least_squares_drop_one,W + a/L + b/L^2,"20,40,80,160,320",extended_finite_time,0.0,160.0,0.7897052902807118,True
least_squares_all,W + a/L^2 + b/L^4,"20,40,80,160,320,640",prompt_and_early_ringdown,0.0,40.0,2.998347611314489,False
least_squares_all,W + a/L^2 + b/L^4,"20,40,80,160,320,640",radiative_signal,0.0,80.0,2.9970052900915656,False
least_squares_all,W + a/L^2 + b/L^4,"20,40,80,160,320,640",extended_finite_time,0.0,160.0,2.9970137691419247,False
least_squares_drop_one,W + a/L^2 + b/L^4,"40,80,160,320,640",prompt_and_early_ringdown,0.0,40.0,1.9000912167348256,False
least_squares_drop_one,W + a/L^2 + b/L^4,"40,80,160,320,640",radiative_signal,0.0,80.0,1.8993309166150296,False
least_squares_drop_one,W + a/L^2 + b/L^4,"40,80,160,320,640",extended_finite_time,0.0,160.0,1.8993313485012544,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,80,160,320,640",prompt_and_early_ringdown,0.0,40.0,1.997384388305591,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,80,160,320,640",radiative_signal,0.0,80.0,1.996574098312908,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,80,160,320,640",extended_finite_time,0.0,160.0,1.9965741480114303,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,160,320,640",prompt_and_early_ringdown,0.0,40.0,2.455842108102585,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,160,320,640",radiative_signal,0.0,80.0,2.4547933462648754,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,160,320,640",extended_finite_time,0.0,160.0,2.454794739360574,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,320,640",prompt_and_early_ringdown,0.0,40.0,2.6496244495934484,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,320,640",radiative_signal,0.0,80.0,2.6484293089492223,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,320,640",extended_finite_time,0.0,160.0,2.6484361265589627,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,640",prompt_and_early_ringdown,0.0,40.0,3.300059918145875,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,640",radiative_signal,0.0,80.0,3.2985572776993703,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,640",extended_finite_time,0.0,160.0,3.298567519318491,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,320",prompt_and_early_ringdown,0.0,40.0,3.787926268097911,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,320",radiative_signal,0.0,80.0,3.7862010798116374,False
least_squares_drop_one,W + a/L^2 + b/L^4,"20,40,80,160,320",extended_finite_time,0.0,160.0,3.786223904540167,False
