comparison,observer,window,interval_classification,complete_late_time_signal,window_start_U_over_M,window_end_U_over_M,sphere_integrated_reference_l2,sphere_integrated_difference_l2,E2,Einf,sphere_integrated_norm_ratio,time_translation_fitted,primary_measure,directly_observed_medium_fine_change_E2,propagated_estimated_fine_numerical_E2,central_residual_is_resolved_accuracy,central_residual_interpretation,agreement_within_1_percent
Winf_L80_vs_Schwarzschild,outer,common_archived_interval,common archived interval across all source archives,False,0.0004112777603122453,57.22741127776022,0.15697285188151974,9.16371638474947e-05,0.0005837771483992707,0.0006973491064456054,0.9998531529326302,False,sphere_integrated_modal_norm_Parseval,2.7763717937468463e-07,2.7291669275188706e-07,False,central extrapolant residual; not a resolved accuracy estimate,True
Winf_L160_vs_Schwarzschild,outer,common_archived_interval,common archived interval across all source archives,False,0.0004112777603122453,57.22741127776022,0.15697285188151974,1.0548856516147004e-05,6.720178928843753e-05,8.013466563626979e-05,0.9999829341782989,False,sphere_integrated_modal_norm_Parseval,9.717823306333562e-07,4.162874234372417e-07,False,central extrapolant residual; not a resolved accuracy estimate,True
Winf_L80_vs_Winf_L160,outer,common_archived_interval,common archived interval across all source archives,False,0.0004112777603122453,57.22741127776022,0.15697017301081762,8.116372908084669e-05,0.000517064659636027,0.0006181240479018628,0.99987021653947,False,sphere_integrated_modal_norm_Parseval,1.0118505839818342e-06,6.892041161891288e-07,False,central extrapolant residual; not a resolved accuracy estimate,True
