cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,coarse_medium_paired_E2,medium_fine_paired_E2,observed_coupled_order,richardson_fine_E2,estimated_fine_numerical_E2,conservative_numerical_E2,below_0p2_percent,below_0p1_percent,case_specific
20,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0008350090763242651,0.00014871172587297576,6.333453800042982,1.2351833800576513e-05,1.2351833800576513e-05,0.00014871172587297576,True,True,True
20,radiative_signal,cumulative,0.0,80.0,0.0017670009822860267,0.0003317411188242678,6.163219658122415,2.969940386992175e-05,2.969940386992175e-05,0.0003317411188242678,True,True,True
20,extended_finite_time,cumulative,0.0,160.0,0.0037286141220405503,0.0007114204220833993,6.111161539618562,6.517363318387845e-05,6.517363318387845e-05,0.0007114204220833993,True,True,True
20,early_ringdown,disjoint,40.0,80.0,0.03250411524185179,0.006189650932341819,6.117474103684637,0.0005654555657333864,0.0005654555657333864,0.006189650932341819,False,False,True
20,late_time,disjoint,80.0,160.0,3.5812766998061836,0.6864479980761572,6.096397144703799,0.06329830554295184,0.06329830554295184,0.6864479980761572,False,False,True
40,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0011894159563043303,0.00038137467901111456,4.459833441610393,7.477773197074258e-05,7.477773197074258e-05,0.00038137467901111456,True,True,True
40,radiative_signal,cumulative,0.0,80.0,0.002676910215167445,0.000938850232962138,4.178964402132939,0.00021128567872750898,0.00021128567872750898,0.000938850232962138,True,True,True
40,extended_finite_time,cumulative,0.0,160.0,0.006016693586268925,0.0022574705552138403,3.9685294627528482,0.0005646059221081707,0.0005646059221081707,0.0022574705552138403,False,False,True
40,early_ringdown,disjoint,40.0,80.0,0.05005627688320526,0.017907157710833663,4.117082134765108,0.004156117361913814,0.004156117361913814,0.017907157710833663,False,False,True
40,late_time,disjoint,80.0,160.0,5.8774072708347385,2.239315006984756,3.920769781634405,0.5738226669175727,0.5738226669175727,2.239315006984756,False,False,True
80,prompt_and_early_ringdown,cumulative,0.0,40.0,0.00043807383961904874,0.00028654364547767906,2.2648680406367676,0.0001903829678030741,0.0001903829678030741,0.00028654364547767906,True,True,True
80,radiative_signal,cumulative,0.0,80.0,0.0014110230473534237,0.0006891569149265641,3.153549959766734,0.0002658985856823661,0.0002658985856823661,0.0006891569149265641,True,True,True
80,extended_finite_time,cumulative,0.0,160.0,0.004114602823105297,0.0016258357082949034,3.807576444898809,0.0004414991831165452,0.0004414991831165452,0.0016258357082949034,True,False,True
80,early_ringdown,disjoint,40.0,80.0,0.02799750830383912,0.013082324782786342,3.289479931543924,0.0046800774135971395,0.0046800774135971395,0.013082324782786342,False,False,True
80,late_time,disjoint,80.0,160.0,4.215983692394435,1.6061990946397082,3.920977138774125,0.4115437550224114,0.4115437550224114,1.6061990946397082,False,False,True
160,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0003564530519462855,0.00017987133678959452,3.053505817208313,7.344625753126678e-05,7.344625753126678e-05,0.00017987133678959452,True,True,True
160,radiative_signal,cumulative,0.0,80.0,0.001167812304617896,0.00040989669647715766,4.176526448949615,9.235791812638618e-05,9.235791812638618e-05,0.00040989669647715766,True,True,True
160,extended_finite_time,cumulative,0.0,160.0,0.003494157452887998,0.0009088625598943011,5.120282290246386,0.0001303350366563765,0.0001303350366563765,0.0009088625598943011,True,True,True
160,early_ringdown,disjoint,40.0,80.0,0.02321290567018517,0.0076877897854724505,4.358321293024299,0.0015837629939673766,0.0015837629939673766,0.0076877897854724505,False,False,True
160,late_time,disjoint,80.0,160.0,3.592209814100712,0.8847976494298332,5.293513172673179,0.11713819097013159,0.11713819097013159,0.8847976494298332,False,False,True
320,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0015471527635776152,0.0002748906833963086,6.341096331171143,2.275563042063462e-05,2.275563042063462e-05,0.0002748906833963086,True,True,True
320,radiative_signal,cumulative,0.0,80.0,0.0034065662208807895,0.0006427257755301451,6.147290594545436,5.794702123860283e-05,5.794702123860283e-05,0.0006427257755301451,True,True,True
320,extended_finite_time,cumulative,0.0,160.0,0.007629556921628974,0.0014779003307697418,6.062472659857881,0.00013834338771090835,0.00013834338771090835,0.0014779003307697418,True,False,True
320,early_ringdown,disjoint,40.0,80.0,0.06334699052983367,0.01212632853086714,6.100597435844001,0.0011161074262577273,0.0011161074262577273,0.01212632853086714,False,False,True
320,late_time,disjoint,80.0,160.0,7.446386386147487,1.4516064556891024,6.042037962577364,0.13711939557872946,0.13711939557872946,1.4516064556891024,False,False,True
640,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0007229802366795121,0.00011430156478077609,6.719306919199297,8.022321348076262e-06,8.022321348076262e-06,0.00011430156478077609,True,True,True
640,radiative_signal,cumulative,0.0,80.0,0.0014335265281946587,0.00023895914915670268,6.547556704533775,1.807253873955272e-05,1.807253873955272e-05,0.00023895914915670268,True,True,True
640,extended_finite_time,cumulative,0.0,160.0,0.0028158027062368403,0.00046479641774511613,6.579329601259051,3.466914372968884e-05,3.466914372968884e-05,0.00046479641774511613,True,True,True
640,early_ringdown,disjoint,40.0,80.0,0.025836759684819625,0.004379808440574932,6.493114492613791,0.0003392119535500198,0.0003392119535500198,0.004379808440574932,False,False,True
640,late_time,disjoint,80.0,160.0,2.6434813156627235,0.43483652026606473,6.5906078422529255,0.03227547057314091,0.03227547057314091,0.43483652026606473,False,False,True
