study,bridge,resolution,timestep,end_time,relative_l2,difference_to_next,observed_order
spatial,minimal,64,0.0025,100.0,2.2281449702560808e-09,2.2279819262610817e-09,
spatial,minimal,96,0.0025,100.0,2.3826928333307645e-13,2.916188915685564e-13,
spatial,minimal,128,0.0025,100.0,4.376360963590757e-13,4.376360963590757e-13,
spatial,minimal,192,0.0025,100.0,0.0,,
temporal,minimal,256,0.02,100.0,0.000389818701292874,0.00034434415147985997,2.6456502371787654
temporal,minimal,256,0.01,100.0,6.878096369290803e-05,5.502659396275468e-05,2.0002423899739044
temporal,minimal,256,0.005,100.0,1.3754337403817097e-05,1.3754337403817097e-05,
temporal,minimal,256,0.0025,100.0,0.0,,
